index,topic,size_bytes,producer_timestamp,consumer_timestamp,consumer_delay_sec
6127634,synthetic_4,97,1750890511.5238142,1751154089.4328706,263577.9090564251
5722654,synthetic_4,96,1750890511.5280287,1751154089.432877,263577.9048483372
6127644,synthetic_4,103,1750890511.5239553,1751154089.4328835,263577.9089281559
5722664,synthetic_4,96,1750890511.5282319,1751154089.4328911,263577.90465927124
6127654,synthetic_4,104,1750890511.5241022,1751154089.4328976,263577.90879535675
5722674,synthetic_4,91,1750890511.5284398,1751154089.432904,263577.90446424484
5722684,synthetic_4,90,1750890511.6211088,1751154089.4329104,263577.811801672
6127664,synthetic_4,102,1750890511.524251,1751154089.4329164,263577.9086654186
6127674,synthetic_4,81,1750890511.5243907,1751154089.432923,263577.90853238106
6127684,synthetic_4,105,1750890511.5245588,1751154089.4329298,263577.9083709717
6127694,synthetic_4,97,1750890511.5247085,1751154089.4329362,263577.9082276821
6127704,synthetic_4,96,1750890511.5248594,1751154089.4329426,263577.90808320045
6127714,synthetic_4,98,1750890511.5250044,1751154089.4329505,263577.9079461098
6127724,synthetic_4,97,1750890511.5251505,1751154089.432957,263577.9078063965
6127734,synthetic_4,97,1750890511.5252936,1751154089.4329636,263577.90767002106
6127744,synthetic_4,97,1750890511.5254412,1751154089.43297,263577.90752887726
6127754,synthetic_4,90,1750890511.5255904,1751154089.4329774,263577.9073870182
6127764,synthetic_4,90,1750890511.525736,1751154089.4329839,263577.90724778175
6127774,synthetic_4,105,1750890511.5258808,1751154089.4329898,263577.90710902214
6127784,synthetic_4,81,1750890511.526028,1751154089.4329967,263577.906968832
6127794,synthetic_4,96,1750890511.526176,1751154089.433003,263577.90682697296
6127804,synthetic_4,90,1750890511.5263202,1751154089.4330091,263577.9066889286
6127814,synthetic_4,104,1750890511.5264735,1751154089.4330156,263577.90654206276
6127824,synthetic_4,84,1750890511.5266185,1751154089.4330218,263577.90640330315
6127834,synthetic_4,97,1750890511.5267613,1751154089.433028,263577.9062666893
6127844,synthetic_4,97,1750890511.5269086,1751154089.4330344,263577.9061257839
6127854,synthetic_4,104,1750890511.5270538,1751154089.4330409,263577.9059870243
6127864,synthetic_4,87,1750890511.5272024,1751154089.4330475,263577.90584516525
6127874,synthetic_4,104,1750890511.527352,1751154089.4330552,263577.9057030678
6127884,synthetic_4,90,1750890511.527498,1751154089.4330618,263577.90556383133
6127894,synthetic_4,102,1750890511.5276437,1751154089.433068,263577.90542435646
6127904,synthetic_4,96,1750890511.527791,1751154089.4330745,263577.9052834511
6127914,synthetic_4,84,1750890511.5279377,1751154089.433081,263577.90514326096
6127924,synthetic_4,103,1750890511.5280807,1751154089.4330869,263577.9050061703
6127934,synthetic_4,105,1750890511.5282269,1751154089.4330947,263577.9048678875
6127944,synthetic_4,91,1750890511.5283797,1751154089.433101,263577.90472126007
6127954,synthetic_4,91,1750890511.6208932,1751154089.4331071,263577.8122138977
5722694,synthetic_4,98,1750890511.6226478,1751154089.4331138,263577.8104660511
6135214,synthetic_4,102,1750890513.6240625,1751154089.43312,263575.80905747414
6135224,synthetic_4,91,1750890513.6243317,1751154089.4331267,263575.8087949753
6135234,synthetic_4,91,1750890513.6246479,1751154089.433133,263575.8084850311
6135244,synthetic_4,98,1750890513.6249447,1751154089.4331403,263575.808195591
6135254,synthetic_4,91,1750890513.6251128,1751154089.4331467,263575.8080339432
6135264,synthetic_4,104,1750890513.6252687,1751154089.4331527,263575.8078839779
6135274,synthetic_4,91,1750890513.6254551,1751154089.433159,263575.80770397186
6135284,synthetic_4,91,1750890513.6256359,1751154089.4331653,263575.80752944946
6135294,synthetic_4,96,1750890513.625842,1751154089.4331715,263575.8073294163
6135304,synthetic_4,91,1750890513.6261644,1751154089.4331777,263575.80701327324
6135314,synthetic_4,82,1750890513.6263685,1751154089.433184,263575.8068153858
6135324,synthetic_4,83,1750890513.6265602,1751154089.43319,263575.80662989616
6135334,synthetic_4,90,1750890513.6267507,1751154089.4331963,263575.8064455986
6135344,synthetic_4,83,1750890513.6269372,1751154089.4332027,263575.8062655926
6135354,synthetic_4,97,1750890513.6271334,1751154089.433209,263575.80607557297
6135364,synthetic_4,82,1750890513.6273215,1751154089.4332151,263575.8058936596
6135374,synthetic_4,97,1750890513.6274736,1751154089.433223,263575.80574941635
6135384,synthetic_4,83,1750890513.6276226,1751154089.4332306,263575.80560803413
6135394,synthetic_4,84,1750890513.627771,1751154089.4332368,263575.80546593666
6135404,synthetic_4,83,1750890513.627917,1751154089.4332433,263575.8053262234
6135414,synthetic_4,98,1750890513.6280634,1751154089.4332495,263575.80518603325
6135424,synthetic_4,98,1750890513.6282108,1751154089.433256,263575.80504512787
6135434,synthetic_4,95,1750890513.6283636,1751154089.4332623,263575.80489873886
6135444,synthetic_4,91,1750890513.7179384,1751154089.4332688,263575.7153303623
6135454,synthetic_4,94,1750890513.718934,1751154089.433275,263575.7143409252
6135464,synthetic_4,88,1750890513.719252,1751154089.4332812,263575.7140290737
6135474,synthetic_4,82,1750890513.7195222,1751154089.4332874,263575.71376514435
6135484,synthetic_4,96,1750890513.71984,1751154089.4332936,263575.71345353127
6135494,synthetic_4,97,1750890513.720121,1751154089.4333003,263575.7131793499
6135504,synthetic_4,91,1750890513.7204335,1751154089.4333084,263575.7128748894
6135514,synthetic_4,98,1750890513.7207718,1751154089.4333146,263575.7125427723
6135524,synthetic_4,90,1750890513.7210777,1751154089.433321,263575.71224331856
6135534,synthetic_4,90,1750890513.7213984,1751154089.4333274,263575.71192908287
6135544,synthetic_4,90,1750890513.7217505,1751154089.4333339,263575.71158337593
6135554,synthetic_4,103,1750890513.72209,1751154089.43334,263575.71125006676
6135564,synthetic_4,83,1750890513.7223945,1751154089.4333463,263575.7109518051
6135574,synthetic_4,84,1750890513.7226765,1751154089.4333527,263575.71067619324
6135584,synthetic_4,90,1750890513.7229595,1751154089.433359,263575.71039938927
6135594,synthetic_4,83,1750890513.7232225,1751154089.433365,263575.71014261246
6135604,synthetic_4,89,1750890513.723479,1751154089.4333727,263575.70989370346
6135614,synthetic_4,91,1750890513.7237754,1751154089.4333792,263575.70960378647
6135624,synthetic_4,84,1750890513.7240336,1751154089.4333854,263575.70935177803
6135634,synthetic_4,104,1750890513.7242799,1751154089.4333925,263575.7091126442
6135644,synthetic_4,96,1750890513.724541,1751154089.4333992,263575.7088582516
6135654,synthetic_4,84,1750890513.7247474,1751154089.4334056,263575.7086582184
6135664,synthetic_4,90,1750890513.7249663,1751154089.4334118,263575.708445549
6135674,synthetic_4,90,1750890513.7251258,1751154089.4334185,263575.7082927227
6135684,synthetic_4,82,1750890513.7252743,1751154089.4334254,263575.70815110207
6135694,synthetic_4,82,1750890513.725438,1751154089.4334316,263575.7079935074
6135704,synthetic_4,87,1750890513.7255945,1751154089.4334376,263575.70784306526
6135714,synthetic_4,97,1750890513.7257538,1751154089.4334438,263575.70769000053
6135724,synthetic_4,90,1750890513.7259176,1751154089.43345,263575.70753240585
6135734,synthetic_4,102,1750890513.726069,1751154089.4334564,263575.70738744736
6135744,synthetic_4,91,1750890513.7262254,1751154089.4334629,263575.7072374821
6135754,synthetic_4,91,1750890513.7263815,1751154089.4334707,263575.7070891857
6135764,synthetic_4,100,1750890513.726529,1751154089.433477,263575.7069480419
6135774,synthetic_4,97,1750890513.726675,1751154089.4334836,263575.70680856705
