index,delay_sec,size_bytes,recv_timestamp,sent_timestamp,topic
1940,0.17209339141845703,80,1748878515.8274484,1748878515.655355,synth_0
1941,0.16569733619689941,87,1748878516.4932733,1748878516.327576,synth_1
1942,0.12822175025939941,80,1748878517.1217887,1748878516.993567,synth_2
1943,0.1285090446472168,95,1748878517.7500446,1748878517.6215355,synth_3
1944,0.17208194732666016,86,1748878518.4221702,1748878518.2500882,synth_4
1945,0.1658482551574707,94,1748878519.0877,1748878518.9218516,synth_5
1946,0.16578888893127441,101,1748878519.7531934,1748878519.5874045,synth_6
1947,0.16568946838378906,100,1748878520.4187794,1748878520.25309,synth_7
1948,0.12803983688354492,85,1748878521.0467768,1748878520.918737,synth_8
1949,0.1278855800628662,86,1748878521.674486,1748878521.5466003,synth_9
1950,0.17174243927001953,99,1748878522.3461933,1748878522.1744509,synth_0
1951,0.16579198837280273,101,1748878523.0115843,1748878522.8457923,synth_1
1952,0.12833404541015625,102,1748878523.6396236,1748878523.5112896,synth_2
1953,0.1284332275390625,101,1748878524.2677395,1748878524.1393063,synth_3
1954,0.1721510887145996,88,1748878524.9397204,1748878524.7675693,synth_4
1955,0.1665511131286621,95,1748878525.6056423,1748878525.4390912,synth_5
1956,0.16520261764526367,100,1748878526.2703302,1748878526.1051276,synth_6
1957,0.1651318073272705,88,1748878526.935779,1748878526.7706473,synth_7
1958,0.12752175331115723,79,1748878527.5636373,1748878527.4361155,synth_8
1959,0.12758588790893555,80,1748878528.1916447,1748878528.0640588,synth_9
1960,0.17151999473571777,99,1748878528.8634534,1748878528.6919334,synth_0
1961,0.16565632820129395,99,1748878529.5290062,1748878529.36335,synth_1
1962,0.12779903411865234,80,1748878530.1564744,1748878530.0286753,synth_2
1963,0.1279468536376953,94,1748878530.7846143,1748878530.6566675,synth_3
1964,0.17156195640563965,100,1748878531.456129,1748878531.284567,synth_4
1965,0.1653609275817871,80,1748878532.1214843,1748878531.9561234,synth_5
1966,0.16527891159057617,80,1748878532.7870991,1748878532.6218202,synth_6
1967,0.16543912887573242,94,1748878533.4527442,1748878533.287305,synth_7
1968,0.1281728744506836,94,1748878534.0810022,1748878533.9528294,synth_8
1969,0.12811613082885742,87,1748878534.7088623,1748878534.5807462,synth_9
1970,0.1721491813659668,87,1748878535.380431,1748878535.2082818,synth_0
1971,0.1657876968383789,101,1748878536.0455701,1748878535.8797824,synth_1
1972,0.1282346248626709,80,1748878536.673618,1748878536.5453835,synth_2
1973,0.12826895713806152,87,1748878537.3016045,1748878537.1733356,synth_3
1974,0.17182183265686035,94,1748878537.9731967,1748878537.801375,synth_4
1975,0.16569232940673828,102,1748878538.6388042,1748878538.4731119,synth_5
1976,0.16573572158813477,98,1748878539.3045382,1748878539.1388025,synth_6
1977,0.16554498672485352,79,1748878539.9700472,1748878539.8045022,synth_7
1978,0.12802529335021973,102,1748878540.5982018,1748878540.4701765,synth_8
1979,0.128190279006958,81,1748878541.226754,1748878541.0985637,synth_9
1980,0.17204546928405762,94,1748878541.898588,1748878541.7265425,synth_0
1981,0.16583800315856934,81,1748878542.5643024,1748878542.3984644,synth_1
1982,0.12820959091186523,94,1748878543.1926868,1748878543.0644772,synth_2
1983,0.12840819358825684,88,1748878543.8209245,1748878543.6925163,synth_3
1984,0.17173266410827637,88,1748878544.4926205,1748878544.3208878,synth_4
1985,0.16608476638793945,101,1748878545.1583743,1748878544.9922895,synth_5
1986,0.16560769081115723,101,1748878545.824074,1748878545.6584663,synth_6
1987,0.16593551635742188,79,1748878546.4901743,1748878546.3242388,synth_7
1988,0.12795376777648926,87,1748878547.1183097,1748878546.990356,synth_8
1989,0.12824010848999023,87,1748878547.7464197,1748878547.6181796,synth_9
1990,0.17178726196289062,81,1748878548.4179955,1748878548.2462082,synth_0
1991,0.16535043716430664,86,1748878549.083282,1748878548.9179316,synth_1
1992,0.1281871795654297,102,1748878549.711777,1748878549.5835898,synth_2
1993,0.1276402473449707,95,1748878550.339456,1748878550.2118158,synth_3
1994,0.1718606948852539,87,1748878551.0116823,1748878550.8398216,synth_4
1995,0.16515064239501953,99,1748878551.676544,1748878551.5113933,synth_5
1996,0.16578221321105957,100,1748878552.3428943,1748878552.177112,synth_6
1997,0.16506385803222656,101,1748878553.0079405,1748878552.8428767,synth_7
