t_bucket,throughput,p99_pods_max_ms,p99_pods_med_ms,viol_rate,lag_skew_ratio,true_p99_ms,true_max_ms,true_viol_rate,hot_part_p99_ms,run_id,label,traffic_mode,skew_fraction,skew_partitions,hot_partition,hot_consumer
2760,,,,,,571835.4573726654,572791.2042140961,0.3333333333333333,572688.8027667999,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
2790,,,,,,41.430296897888184,41.957855224609375,0.0,,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
0,41.816667,12673.618,3364.1315,0.6444798724591471,3.1544654999999997,19993.53642940521,20283.137321472168,0.717948717948718,20092.61041879654,20260223_235807_skew,20260223_235807_skew | tm=skew sf=0.80 sp=0,skew,0.8,0,0,consumer-sts-3
30,,,,,,38393.844690322876,38567.77811050415,0.7021276595744681,38446.780948638916,20260223_235807_skew,20260223_235807_skew | tm=skew sf=0.80 sp=0,skew,0.8,0,0,consumer-sts-3
60,,,,,,57601.57187461853,57957.35168457031,0.660377358490566,57772.61986017227,20260223_235807_skew,20260223_235807_skew | tm=skew sf=0.80 sp=0,skew,0.8,0,0,consumer-sts-3
90,,,,,,76400.0146985054,76435.31823158264,0.5892857142857143,76417.34552383423,20260223_235807_skew,20260223_235807_skew | tm=skew sf=0.80 sp=0,skew,0.8,0,0,consumer-sts-3
120,,,,,,96303.66950511932,96332.49759674072,0.631578947368421,96320.0313949585,20260223_235807_skew,20260223_235807_skew | tm=skew sf=0.80 sp=0,skew,0.8,0,0,consumer-sts-3
150,,,,,,114701.02877616882,114714.79535102844,0.6888888888888889,114706.97343349457,20260223_235807_skew,20260223_235807_skew | tm=skew sf=0.80 sp=0,skew,0.8,0,0,consumer-sts-3
180,,,,,,133475.2697467804,133494.58527565002,0.6595744680851063,133483.66780281067,20260223_235807_skew,20260223_235807_skew | tm=skew sf=0.80 sp=0,skew,0.8,0,0,consumer-sts-3
210,,,,,,149443.5957145691,150063.35949897766,0.625,149703.49665641785,20260223_235807_skew,20260223_235807_skew | tm=skew sf=0.80 sp=0,skew,0.8,0,0,consumer-sts-3
